id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
1708,30 Back Plate Hyperextension,The 30 Back plate hyperextension is a hyperextension with a weight plate.,"Lower Back, Glutes, Hamstrings",4.5,Strength Training,168
1709,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.","Back, Lats, Biceps, Traps",4.0,Bodybuilding,168
1710,Single-arm cable seated row,"The single-arm cable seated row is a version of the cable row movement that trains the muscles of the upper back one side at a time. It targets a wide range of muscles including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids. It also targets the biceps to a lesser degree. The single-arm row can work well in a variety of rep ranges but is most popular in muscle-building workouts or as an accessory movement for strength workouts.","Back, Lats, Biceps, Obliques",4.0,Bodybuilding,168
1711,Paul Carter Lat Pull-Down,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.","Back, Lats, Biceps",4.0,Bodybuilding,168
1712,TBS Lat Pull-Down,The TBS lat pull-down is a standard lat pulldown.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1713,One-Arm Cable Read Delt Fly - Gethin Variation,"The single-arm bent-over cable rear delt fly is an exercise targeting the rear deltoids. It is a great way to isolate this area of the shoulder and attack each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.","Shoulders, Deltoids, Back",3.0,Bodybuilding,168
1714,UP Seated Cable Row,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.","Back, Lats, Biceps",4.0,Bodybuilding,168
1715,UP Cable Straight-Arm Pull-Down,"The straight-arm rope pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine and a rope grip. It can either be performed in an athletic upright stance, or slightly bent-over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, like 8-15 reps or above.","Lats, Back, Triceps",3.5,Bodybuilding,168
1716,UN Cable Pull-Through,The UN cable pull-through is a pull-through with a cable machine.,"Glutes, Hamstrings, Lower Back",4.0,Strength Training,168
1717,30 Back Close-Grip Seated Cable Row,The 30 Back close-grip seated cable row is a seated cable row with a close grip.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1718,30 Back Incline Face-Up Cable Pull-Down,The 30 Back incline face-up cable pull-down is a cable pulldown on an incline bench.,"Back, Lats",4.0,Bodybuilding,168
1719,30 Back Kneeling High Cable Pull-Down,The 30 Back kneeling high cable pull-down is a cable pulldown while kneeling.,"Back, Lats",4.2,"Bodybuilding, Fitness",168
1720,30 Back Leaning V-Bar Pull-Down,The 30 Back leaning V-bar pull-down is a lat pulldown with a V-bar.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1721,30 Back Reverse-Grip Pull-Down,The 30 Back reverse-grip pull-down is a lat pulldown with a supinated grip.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1722,30 Back Standing Low Cable Bar Row,The 30 Back standing low cable bar row is a cable row while standing.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1723,30 Back Standing Low Cable Rope Row,The 30 Back standing low cable rope row is a cable row with a rope handle.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1724,30 Back Straight-Arm Bar Pull-Down,The 30 Back straight-arm bar pull-down is an isolation exercise for the lats.,"Lats, Back",3.5,Bodybuilding,168
1725,30 Back Straight-Arm Rope Pull-Down,The 30 Back straight-arm rope pull-down is an isolation exercise for the lats.,"Lats, Back",3.5,Bodybuilding,168
1726,30 Back Wide-Grip Behind-The-Head Pull-Down,The 30 Back wide-grip behind-the-head pull-down is a lat pulldown behind the neck.,"Back, Lats, Traps",4.0,Bodybuilding,192
1727,30 Back Wide-Grip Pull-Down,The 30 Back wide-grip pull-down is a standard lat pulldown.,"Back, Lats",4.0,Bodybuilding,168
1728,30 back Wide-Grip Seated Cable Row,The 30 back wide-grip seated cable row is a seated cable row with a wide grip.,"Back, Lats",4.0,Bodybuilding,168
1729,Rower,"The rower is a popular gym machine that is serious cardiovascular work, but also targets the legs, back, and arm muscles. It's a great way build overall aerobic and muscular fitness. It is popular in CrossFit-style workouts, but is also a staple in all types of gyms. It can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.","Full Body, Legs, Back, Arms",9.0,"Cardio, Crossfit, Rowing",144
1730,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.","Back, Lats, Biceps, Traps",4.0,Bodybuilding,168
1731,Smith machine bent-over row,"The Smith machine bent-over row is an upper-body exercise targeting the muscles of the back, particularly the lats (latissimus dorsi). This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused workout.","Back, Lats, Biceps",5.0,Bodybuilding,192
1732,Leverage High Row,The machine high row is an exercise targeting the lats and works the back overall.,"Back, Lats, Traps",4.0,Bodybuilding,168
1733,Machine Low Row,The machine low row is an exercise targeting the back muscles.,"Back, Lats",4.0,Bodybuilding,168
1734,Standing lat pull-down,"The standing lat pull-down is a variation of the lat pull-down performed standing next to a cable stack rather than sitting on a bench or machine. It has all of the same benefits of a lat pull-down performed on a bench or machine, in addition to providing further activation to the core and lower body. If you are too tall to perform this movement, a kneeling lat pull-down provides all of the same benefits.","Back, Lats, Abs",4.2,"Bodybuilding, Fitness",168
1735,30 Back Machine Seated Row,The 30 Back machine seated row is a seated row on a machine.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1736,30 Back Smith Machine Push-Up,The 30 Back Smith machine push-up is a push-up with the hands on a Smith machine bar.,"Chest, Triceps",3.5,Strength Training,168
1737,Mixed Grip Chin,The mixed grip chin is a chin-up with one hand supinated and one pronated.,"Back, Biceps, Lats",6.0,Calisthenics,168
1738,Rhomboids SMR,"Rhomboids self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the rhomboid muscles of the mid back, some people find they can cause this often painful and tight area to relax or ""release."" Rhomboids SMR is often accompanied by SMR on the lats, or by stretches that target the rhomboids or lats.",Back,2.0,"Mobility, Rehabilitation",84
1739,Spinal Stretch,This refers to general stretches for the spine.,"Lower Back, Back",1.8,Mobility,72
1740,Upper Back Stretch,This refers to general stretches for the upper back.,"Back, Traps",1.5,Mobility,72
1741,Middle Back Stretch,This refers to general stretches for the middle back.,"Back, Lats",1.5,"Mobility, Yoga",72
1742,TBS Pull-Up,The TBS pull-up is a standard pull-up.,"Back, Lats, Biceps",6.0,"Calisthenics, Crossfit, Strength Training",168
1743,HM Angel Stretch,The HM angel stretch is a shoulder mobility exercise.,"Shoulders, Back",2.0,"Mobility, Rehabilitation",84
1744,UNS Foam Roll Upper Back,The UNS foam roll upper back is self-myofascial release for the upper back.,"Back, Traps",2.0,"Mobility, Rehabilitation",84
1745,30 Back Neutral-Grip Pull-Down,The 30 Back neutral-grip pull-down is a lat pulldown with a neutral grip.,"Back, Lats, Biceps",4.0,Bodybuilding,168
1746,30 Back Pull-Up,The 30 Back pull-up is a standard pull-up.,"Back, Lats, Biceps",6.0,Calisthenics,168
1747,30 Back Reverse-Grip Pull-Up,The 30 Back reverse-grip pull-up is a chin-up.,"Biceps, Back, Lats",6.0,Calisthenics,168
1748,ACFT Medicine ball overhead power throw,"The medicine ball overhead power throw is an explosive exercise targeting the abdominals and hips. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It can be performed for lower reps with a focus on power or for higher reps with a focus on fat loss and conditioning. It begins in a semi-squat position holding a medicine ball, which then gets ""scooped"" up and thrown overhead in one continuous movement.","Full Body, Abs, Hip Flexors",8.5,"Athletics, Fitness, Military Training",168
1749,Upright Row - With Bands,The upright row with bands is an upright row with a resistance band.,"Shoulders, Traps",3.5,"Home Workouts, Strength Training",144
1750,Band seated row,"The band seated row is a band alternative to the popular cable exercise and trains the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids. It also targets the biceps to a lesser degree. The band row can work well in a variety of rep ranges, requiring a heavier band for muscle-building and strength workouts and a lighter band for weight-loss work and as an accessory movement.","Back, Lats, Biceps",3.5,"Home Workouts, Rehabilitation",144
1751,Barbell shrug,"The barbell shrug is an exercise targeting the traps (trapezius muscles). It is popular in strength and muscle-focused upper-body training, and is often trained on a shoulder day. With the assistance of straps, it can be loaded heavily, but it is still usually performed for moderate to high reps, such as 8-10 reps per set.",Traps,3.5,"Bodybuilding, Strength Training",192
1752,Barbell behind-the-back shrug,"The barbell behind-the-back shrug is an exercise targeting the traps. Having the bar behind you helps keep your shoulders pulled up and back, rather than rounded forward. It is popular in strength and muscle-focused upper-body training, and is often trained on a shoulder day. With the assistance of straps, it can be loaded heavily, but it is still usually performed for moderate to high reps, such as 8-10 reps per set.",Traps,3.5,Bodybuilding,192
1753,Clean Shrug,The clean shrug is a shrug performed as part of the clean movement.,"Traps, Back, Full Body",7.0,Olympic Weightlifting,216
1754,Snatch Shrug,The snatch shrug is a shrug performed as part of the snatch movement.,"Traps, Back, Full Body",7.0,Olympic Weightlifting,216
1755,Single-arm inverted row,"The single-arm inverted row is a bodyweight exercise targeting the muscles of the lats (latissimus dorsi) and upper back, using the bar of the Smith machine to hang and pull from. You can change the bar height to customize the difficulty level and desired angle of the row.","Back, Lats, Biceps, Obliques",5.0,Calisthenics,168
1756,Kettlebell sumo deadlift high pull,"The kettlebell sumo deadlift high pull is a dynamic kettlebell exercise that focuses on the muscles of the posterior chain, including the hamstrings, glutes, traps, rear delts, and upper back. It can be done in lower reps for power or strength, or higher reps for conditioning and fat loss. It can also be a component of a circuit-style kettlebell workout, either for time or reps.","Full Body, Hamstrings, Glutes, Traps, Shoulders",9.5,"Crossfit, HIIT, Kettlebell Training",168
1757,Standing dumbbell shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It's often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Traps,3.0,"Bodybuilding, Strength Training",168
1758,Standing dumbbell upright row,"The standing dumbbell upright row is a popular movement for building stronger and bigger traps and shoulders. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. It is generally performed for moderate to high reps, such as 8-12 reps per set or more.","Shoulders, Traps",4.0,Bodybuilding,168
1759,Dumbbell pull-over,"The dumbbell pull-over is a popular muscle and strength-building exercise that targets the muscles of the chest, upper back, lats, and the serratus anterior. It was a favorite of old-school bodybuilders, who believed high-rep pull-overs helped build a V-taper shape in the torso.","Chest, Lats, Back",4.0,Bodybuilding,168
1760,Standing Dumbbell Shrug - Gethin Variation,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It’s a often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Traps,3.0,Bodybuilding,168
1761,Single-arm dumbbell row,"The single-arm dumbbell row is a popular exercise for building the latissimus dorsi, or lat, muscles of the back. It is most often performed for moderate to high reps, such as 8-12 reps per arm or more, as part of a muscle-building upper-body or back-focused portion of a workout.","Back, Lats, Biceps",4.5,"Bodybuilding, Strength Training",168
1762,Lying Face Down Plate Neck Resistance,The lying face down plate neck resistance is a neck strengthening exercise.,Back,2.0,"American Football, Martial Arts, Rehabilitation, Wrestling",192
1763,Lying Face Up Plate Neck Resistance,The lying face up plate neck resistance is a neck strengthening exercise.,Traps,2.0,"American Football, Martial Arts, Rehabilitation, Wrestling",192
1764,Seated Head Harness Neck Resistance,The seated head harness neck resistance is a neck strengthening exercise with a harness.,"Traps, Back",2.5,"American Football, Martial Arts, Wrestling",192
1765,Cable straight-bar upright row,"The cable straight-bar upright row is an isolation exercise for the traps and the medial deltoids. It may not be appropriate for all lifters depending on their shoulder health and injury history. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or shoulder-focused workout.","Shoulders, Traps",3.8,Bodybuilding,168
1766,Cable shrug,"The cable shrug is an exercise targeting the traps, as well as hitting the shoulders and upper back. Cables allow for lighter loading which is beneficial for higher-rep sets.",Traps,3.0,Bodybuilding,168
1767,Smith machine shrug,"The Smith machine shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Traps,3.0,Bodybuilding,192
1768,Leverage Shrug,The leverage shrug is a shrug on a leverage machine.,Traps,3.0,Bodybuilding,168
1769,Calf-Machine Shoulder Shrug,The calf-machine shoulder shrug is a shrug performed on a calf raise machine.,Traps,3.0,Bodybuilding,168
1770,Smith machine behind-the-back shrug,"The Smith machine behind-the-back shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Traps,3.0,Bodybuilding,192
1771,Smith machine upright row,"The Smith machine upright row is an upper-body exercise targeting the muscles of the traps and shoulders. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or shoulder-focused workout.","Shoulders, Traps",4.0,Bodybuilding,192
1772,Machine low row-,"The machine low row is a popular exercise targeting the back muscles, particularly the lats (latissimus dorsi), rhomboids, and middle and lower trapezius. Machine row variations are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused portion of a workout.","Back, Lats",4.0,"Bodybuilding, Strength Training",168
1773,Machine Shrug - Gethin Variation,The machine shrug - Gethin variation is a specific type of machine shrug.,Traps,3.0,Bodybuilding,168
1774,Smith machine single-arm shrug,"The Smith machine single-arm shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Traps,3.0,Bodybuilding,192
1775,Isometric Neck Exercise - Sides,The isometric neck exercise - sides is a neck strengthening exercise.,Traps,1.5,"Martial Arts, Rehabilitation, Wrestling",144
1776,Isometric Neck Exercise - Front And Back,The isometric neck exercise - front and back is a neck strengthening exercise.,"Traps, Back",1.5,"Martial Arts, Rehabilitation, Wrestling",144
1777,Neck Bridge Prone,The neck bridge prone is a neck strengthening exercise.,"Back, Traps",4.5,"Gymnastics, Martial Arts, Wrestling",192
1778,Side Neck Stretch,The side neck stretch is a stretch for the neck muscles.,Traps,1.5,Mobility,72
1779,Neck-SMR,Neck-SMR is self-myofascial release for the neck.,Traps,2.0,"Mobility, Rehabilitation",84
1780,Scapular Pull-Up,The scapular pull-up is a back activation exercise.,"Back, Lats",2.5,"Calisthenics, Mobility, Rehabilitation",144
1781,Single-leg depth squat,"The single-leg depth squat is an exercise targeting the muscles of the lower body, including the quads, glutes, and hamstrings. It is sometimes used as a substitute for the pistol squat, since it doesn't demand the same level of flexibility to perform. It is usually performed for low to moderate reps with a focus on proper form and control.","Quads, Glutes, Legs",5.5,"Calisthenics, Fitness, Parkour",168
1782,Squats - With Bands,Squats with bands are squats with a resistance band for added resistance or assistance.,"Quads, Glutes, Hamstrings, Legs",5.5,"Home Workouts, Strength Training",144
1783,Hip Flexion with Band,The hip flexion with band is a hip flexor strengthening exercise.,Hip Flexors,2.5,"Athletics, Rehabilitation",96
1784,Forward Band Walk,The forward band walk is an exercise for the hips and glutes.,"Glutes, Hip Flexors",3.0,"Mobility, Rehabilitation",96
1785,Boss Everline Resistance-Band Pull Sprint,The Boss Everline resistance-band pull sprint is a resisted sprint.,"Full Body, Legs",13.0,"Athletics, Sports Performance",192
1786,Banded jump squat,"The banded jump squat is an explosive bodyweight squat variation performed with a band around the thighs just above the knees. This increases muscle activation in the hips and glutes, while the squat targets the quads, hamstrings, and glutes. The banded jump squat can be performed for low reps as a power-focused exercise, or for higher reps to build muscle in the lower body, challenge conditioning, and burn fat.","Legs, Glutes, Quads",8.5,"HIIT, Plyometrics, Sports Performance",144
1787,Speed Box Squat,"The banded barbell box squat is a strength and power exercise targeting the lower body. It is popular in powerlifting training, either performed with light weights as a power and speed exercise, or heavier for strength. It is usually performed to a box of a height that demands the squatter to decent to around parallel.","Quads, Glutes, Hamstrings, Legs",7.0,Strength Training,192
1788,HM Banded Squat Toe Tap,The HM banded squat toe tap is a squat with a toe tap and a band.,"Quads, Glutes, Legs",4.0,"Fitness, Home Workouts",120
1789,UP Band Abducted Squat,The UP band abducted squat is a squat with a band around the knees to promote abduction.,"Quads, Glutes, Legs",4.0,"Rehabilitation, Strength Training",120
1790,FYR2 Lateral Band Walk,The FYR2 lateral band walk is a glute activation exercise.,Glutes,3.0,"Mobility, Rehabilitation",96
1791,FYR2 Banded Squat Hold-Pulse-Jump Complex,The FYR2 banded squat hold-pulse-jump complex is a lower body burnout.,"Quads, Glutes, Legs",9.0,"Circuit Training, HIIT",144
1792,Band split squat,"The band split squat is a band movement targeting the quads, glutes, and hamstrings. It can be performed either for time or reps, and is often included as part of a fat-loss or athleticism-focused circuit workout. Leaning back places more emphasis on the glutes and hamstrings, while standing straight up targets the quads.","Quads, Glutes, Hamstrings, Legs",4.5,"Home Workouts, Strength Training",144
1793,Band front squat,"The band front squat is a popular exercise for targeting the muscles of the lower body, including the quadriceps, glutes, and hamstrings. Holding band in the racked position also works the core and upper-back muscles to maintain posture while the lower body moves. Because the tension of the band changes as it stretches, the resistance more closely matches the natural strength curve of the squat. This movement is usually performed for moderate to high reps, at least 8-12 reps per set or more. If this movement hurts your knees, try performing it with a wider stance.","Quads, Glutes, Abs, Back",5.0,"Fitness, Home Workouts",144
1794,Squat hold with band pull-apart,"The squat hold with band pull-apart is a combination of the squat hold and band pull-apart. It involves holding the squat position with the thighs at or below parallel to the ground while performing a band pull-apart. The band pull-apart is an exercise targeting the upper back muscles, including the trapezius, rear delts, and rhomboids. The squat hold band pull-apart can be performed for mobility purposes or to increase time under tension on lower-body muscles including the quads, glutes, and hamstrings.","Quads, Glutes, Shoulders, Back, Full Body",4.5,"Fitness, Mobility",120
1795,Banded squat toe tap,"The banded squat toe tap is a banded variation on the classic bodyweight squat, but with a lateral toe tap to add extra focus to the stabilizer muscles around the hips. It can be performed for time or for reps as part of a dynamic warm-up for the lower body, or in any lower-body portion of a workout.","Quads, Glutes",4.0,"Mobility, Rehabilitation",120
1796,Band overhead squat,"The band overhead squat is a full-body, functional movement that works to build full-body strength and stability. It is a variation of the classic barbell exercise and can be used to train core strength and stability for Olympic weightlifting or CrossFit.","Full Body, Quads, Glutes, Shoulders, Abs",6.0,"Crossfit, Home Workouts, Mobility, Olympic Weightlifting",144
1797,Quadriceps SMR,"Quadriceps self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the quad muscles of the upper leg, some people find they can cause this often painful and tight muscle group to relax or ""release."" Quadriceps SMR is often accompanied by SMR on the calf, glute, or hip muscles, or by stretches that target the calves or quads.",Quads,2.0,"Mobility, Rehabilitation",84
1798,Clean from Blocks,The clean from blocks is a clean with a reduced range of motion.,"Full Body, Hamstrings, Glutes, Back, Shoulders, Traps",9.5,"Crossfit, Olympic Weightlifting",216
1799,Barbell Full Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.","Quads, Glutes, Hamstrings, Lower Back, Legs",7.0,"Bodybuilding, Strength Training",192
1800,Barbell back squat to box,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.","Quads, Glutes, Hamstrings, Legs",7.0,Strength Training,192
1801,Push-press,"The push-press is an overhead press variation in which the barbell is pushed upward with assistance from the lower body. This ""push"" helps the weight travel through the sticking point of a strict press. The push-press is commonly performed as part of barbell complexes, power training for all types of athletics, or as a powerful shoulder exercise.","Shoulders, Triceps, Legs, Full Body",8.0,"Crossfit, Olympic Weightlifting, Strength Training",192
1802,Power snatch-,"The power snatch is a full-body lift in which the bar is pulled from the floor with a wide grip to the overhead position in one movement. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power snatch can be used as a learning tool for the full snatch, or to train muscular power and strength on its own. It is usually performed for low reps, focusing on power and movement quality.","Full Body, Hamstrings, Glutes, Back, Shoulders, Traps",10.0,"Crossfit, Olympic Weightlifting",216
1803,Hang Clean,The hang clean is a clean initiated from a hanging position.,"Full Body, Hamstrings, Glutes, Back, Shoulders, Traps",9.0,"Crossfit, Olympic Weightlifting",216
1804,Barbell walking lunge,"The barbell walking lunge tests your ability to maintain balance while challenging the quads, glutes, and hamstrings as well as the core muscles. Using a barbell allows you to overload the exercise. It can be performed for moderate reps, such as 8-15 per set or across the gym, or for higher reps as a conditioning and mental toughness challenge.","Quads, Glutes, Hamstrings, Legs",6.0,"Bodybuilding, Strength Training",192
1805,Olympic Squat,"The Olympic squat is a high-bar, deep squat.","Quads, Glutes, Hamstrings, Legs",7.5,"Olympic Weightlifting, Strength Training",192
1806,Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.","Quads, Legs",5.0,Bodybuilding,144
1807,Box Squat with Bands,The box squat with bands is a box squat with accommodating resistance.,"Quads, Glutes, Hamstrings, Legs",7.5,Strength Training,192
1808,Weighted Jump Squat,The weighted jump squat is a plyometric squat with added weight.,"Quads, Glutes, Hamstrings, Legs",8.5,"Plyometrics, Sports Performance",168
1809,Squat with Chains,The squat with chains is a squat with accommodating resistance.,"Quads, Glutes, Hamstrings, Legs",7.5,Strength Training,192
1810,Barbell Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.","Quads, Glutes, Hamstrings, Lower Back, Legs",7.0,"Bodybuilding, Strength Training",192
1811,Barbell front squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.","Quads, Glutes, Abs, Back, Legs",7.5,"Bodybuilding, Crossfit, Olympic Weightlifting, Strength Training",192
1812,Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.","Quads, Glutes, Hamstrings, Legs",6.0,Strength Training,192
1813,Smith machine box squat,"The Smith machine box squat is a machine-based exercise targeting the quads, glutes, and hamstrings. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or power or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.","Quads, Glutes, Hamstrings, Legs",6.0,Bodybuilding,192
1814,Barbell step-up,"The barbell step-up is a great exercise for building lower-body strength and power. It targets all the same muscles as bodyweight step-ups, such as the quads, glutes, and hamstrings, but allows for greater muscular overload.","Quads, Glutes, Hamstrings, Legs",6.5,"Fitness, Strength Training",192
1815,Barbell Bulgarian split squat,"The barbell Bulgarian split squat is a single-leg exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell than when using dumbbells. If balance is an issue, consider using a Smith machine or holding dumbbells at your side instead.","Quads, Glutes, Hamstrings, Legs",6.5,"Bodybuilding, Strength Training",192
1816,Hang Clean - Below the Knees,The hang clean - below the knees is a hang clean initiated from below the knees.,"Full Body, Hamstrings, Glutes, Back, Shoulders, Traps",9.0,Olympic Weightlifting,216
1817,Barbell hack squat,"The barbell hack squat is a variety of deadlift performed with the barbell behind the legs. This forces the lifter into a body position similar to a squat and targets the quads and glutes. It is named after famed strongman George Hackenschmidt, who performed it as an overall leg-building exercise. The barbell hack squat can be used as a substitute for the machine hack squat, or as a lower-body strength and size movement on its own.","Quads, Glutes, Legs",6.5,"Bodybuilding, Strength Training",192
1818,Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.","Quads, Legs",5.0,Bodybuilding,168
1819,Barbell thruster,"The barbell thruster is a full-body exercise that incorporates both squatting and pressing in one functional movement. It's especially common in contemporary CrossFit workouts, but also in general strength training. The barbell is usually cleaned into place first, but it could be performed taken from a squat rack in a front-rack position. The thruster can be performed in traditional strength-focused rep ranges to build strength in the press, or in higher reps for full-body conditioning.","Full Body, Quads, Glutes, Shoulders, Triceps",11.0,"Crossfit, Olympic Weightlifting",192
1820,Split Jerk,The split jerk is an Olympic lifting movement.,"Full Body, Shoulders, Legs",10.0,"Crossfit, Olympic Weightlifting",216
1821,Push-jerk,"The push-jerk is a movement in which the barbell is pushed from the front rack position to overhead with help from the legs. It differs from the push-press in that the lifter dips under the bar rather than simply pushing it up. It is popular in CrossFit workouts and Olympic weightlifting, as well as power training for athletics. It is usually performed for low reps, focusing on power and movement quality.","Full Body, Shoulders, Legs",9.0,"Crossfit, Olympic Weightlifting",216
1822,Barbell back squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.","Quads, Glutes, Hamstrings, Lower Back, Legs",7.0,"Bodybuilding, Strength Training",192
1823,Zercher squat,The Zercher squat is a barbell exercise in which the bar is placed in the crease of your elbows as you perform a normal squat. This movement can be awkward at first but is extremely effective in building both size and strength.,"Quads, Glutes, Biceps, Back, Abs, Legs",7.5,"Fitness, Strength Training",192
1824,Jefferson Squats,The Jefferson squat is a squat variation where you stand over the bar.,"Legs, Quads, Glutes, Inner Thighs",7.0,Strength Training,192
1825,Jerk Dip Squat,The jerk dip squat is a component of the jerk.,"Quads, Legs",5.0,Olympic Weightlifting,216
1826,Barbell side split squat,"The barbell side split squat is a variation of the split squat that targets the lower body, specifically the quads, and requires good hip mobility.","Quads, Inner Thighs, Glutes",6.0,"Mobility, Strength Training",192
1827,Frankenstein Squat,The Frankenstein squat is a front squat with arms extended.,"Quads, Glutes, Abs, Back",6.5,"Crossfit, Olympic Weightlifting",192
