Food Item,Food Group,Macronutrient Focus,Is Vitamin-Rich,Is Mineral-Rich,Is Vegan,Is Vegetarian,Is Gluten-Free,Is Dairy-Free,Is Nut-Free (General),Is Halal,Is Kosher,Processing Level,Culinary Usage,Health Impact,Contains Gluten,Contains Milk,Contains Eggs,Contains Fish,Contains Shellfish,Contains Peanuts,Contains Tree Nuts,Contains Soybeans,Contains Sesame,Contains Mustard,Contains Celery,Contains Sulphites
"Breadsticks, soft, frozen",Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Highly Processed,Snack; Side Dish,Unhealthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,Variable
"Breadsticks, soft, with parmesan cheese, fast food / restaurant",Grains; Dairy,Carbohydrate-rich; Fat-rich,N,Y,Y,Y,N,N,Y,Y,Y,Highly Processed,Snack; Side Dish,Unhealthy,Y,Y,Variable,N,N,N,N,Variable,N,N,N,N
"Breadsticks, soft, stuffed or topped with melted cheese",Grains; Dairy,Carbohydrate-rich; Fat-rich,N,Y,Y,Y,N,N,Y,Y,Y,Highly Processed,Snack; Appetizer,Unhealthy,Y,Y,Variable,N,N,N,N,Variable,N,N,N,N
Croutons,Grains; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Salad Topping; Soup Garnish,Moderate,Y,Variable,N,N,N,N,N,Variable,N,N,N,Variable
"Muffin, English",Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Moderate,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Muffin, English, with raisins",Grains; Fruits,Carbohydrate-rich,Y,N,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Moderate,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
"Muffin, English, cheese",Grains; Dairy,Carbohydrate-rich,N,Y,Y,Y,N,N,Y,Y,Y,Processed,Breakfast Bread,Moderate,Y,Y,N,N,N,N,N,N,N,N,N,N
"Muffin, English, with fruit other than raisins",Grains; Fruits,Carbohydrate-rich,Y,N,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Moderate,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
Melba toast,Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Cracker; Appetizer Base,Moderate,Y,N,N,N,N,N,N,N,N,N,N,N
Anisette toast,Grains; Sweets and snacks; Spices,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Sweet Cracker; Dessert,Unhealthy,Y,N,N,N,N,N,N,N,N,N,N,N
Pannetone,Grains; Sweets and snacks; Fruits; Dairy; Proteins,Carbohydrate-rich; Fat-rich,Y,N,Y,Y,N,N,N,Y,N,Processed,Sweet Bread,Unhealthy,Y,Y,Y,N,N,N,Variable,N,N,N,N,Variable
Zwieback toast,Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Teething Biscuit; Cracker,Moderate,Y,Variable,Variable,N,N,N,N,N,N,N,N,N
"Bread, whole grain white",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, whole grain white, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bagel, whole grain white",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Bread, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, whole wheat, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, whole wheat, made from home recipe or purchased at bakery",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, chappatti or roti",Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Flatbread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, puri",Grains; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Highly Processed,Fried Flatbread,Unhealthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, paratha",Grains; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Layered Flatbread,Moderate,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Bread, whole wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,Variable
"Bread, whole wheat, with raisins, toasted",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,Variable
"Bread, sprouted wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Minimally Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, sprouted wheat, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Minimally Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, wheat or cracked wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, wheat or cracked wheat, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, wheat or cracked wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,Variable
"Bread, wheat or cracked wheat, with raisins, toasted",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,Variable
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, French or Vienna, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, French or Vienna, whole wheat, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, pita, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, pita, wheat or cracked wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bagel, wheat",Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Moderate,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Bagel, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Bagel, wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,N,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Moderate,Y,N,N,N,N,N,N,N,Variable,N,N,Variable
"Bagel, whole wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,Variable
"Bagel, wheat, with fruit and nuts",Grains; Fruits; Nuts,Carbohydrate-rich,Y,Y,Y,Y,N,Y,N,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,Y,N,Variable,N,N,Variable
"Bagel, wheat bran",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Muffin, English, wheat bran",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Muffin, English, wheat bran, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
"Muffin, English, wheat or cracked wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Muffin, English, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Muffin, English, wheat or cracked wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
"Muffin, English, whole wheat, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
"Muffin, English, whole grain white",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Breadsticks, hard, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Snack,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Roll, wheat or cracked wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, wheat or cracked wheat, hot dog bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hot Dog,Moderate,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, wheat or cracked wheat, hamburger bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hamburger,Moderate,Y,Variable,Variable,N,N,N,N,Variable,Variable,N,N,N
"Roll, whole wheat",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, whole wheat, hot dog bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hot Dog,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, whole wheat, hamburger bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hamburger,Healthy,Y,Variable,Variable,N,N,N,N,Variable,Variable,N,N,N
"Roll, whole grain white",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, whole grain white, hot dog bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hot Dog,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, whole grain white, hamburger bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hamburger,Healthy,Y,Variable,Variable,N,N,N,N,Variable,Variable,N,N,N
"Bread, rye",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, rye, toasted",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, marble rye and pumpernickel",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, marble rye and pumpernickel, toasted",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Muffin, English, rye",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Bread, pumpernickel",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, pumpernickel, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bagel, pumpernickel",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Muffin, English, pumpernickel",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Bread, black",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, black, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, rye",Grains,Carbohydrate-rich,N,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Roll, pumpernickel",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,N,N,N,N,N,N,N,N,N,N,N
"Bread, oatmeal",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, oatmeal, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, oat bran",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, oat bran, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bagel, oat bran",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,N,N,Variable,N,N,N
"Roll, oatmeal",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Muffin, English, oat bran",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,N
"Muffin, English, oat bran, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,N,N,N,N,N,Variable
"Bread, multigrain, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Bread, multigrain",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Bread, multigrain, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,Variable
"Bread, multigrain, with raisins, toasted",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread; Snack,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,Variable
"Bread, multigrain, reduced calorie and/or high fiber",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Bread, multigrain, reduced calorie and/or high fiber, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Roll, multigrain",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Roll; Side Dish,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Roll, multigrain, hot dog bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hot Dog,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Roll, multigrain, hamburger bun",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bun for Hamburger,Healthy,Y,Variable,Variable,N,N,N,Variable,Variable,Variable,N,N,N
"Bagel, multigrain",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,Variable,N,Variable,N,N,N
"Bagel, multigrain, with raisins",Grains; Fruits,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread Product,Healthy,Y,N,N,N,N,N,Variable,N,Variable,N,N,Variable
"Muffin, English, multigrain",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Breakfast Bread,Healthy,Y,Variable,N,N,N,N,Variable,N,N,N,N,N
"Bread, barley",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, barley, toasted",Grains,Carbohydrate-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, soy",Grains; Legumes,Carbohydrate-rich; Protein-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Y,N,N,N,N
"Bread, soy, toasted",Grains; Legumes,Carbohydrate-rich; Protein-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,Y,N,N,N,N
"Bread, sunflower meal",Grains; Seeds,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,N,Y,N,N,N
"Bread, sunflower meal, toasted",Grains; Seeds,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Healthy,Y,Variable,Variable,N,N,N,N,N,Y,N,N,N
"Bread, rice",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Bread,Moderate,N,Variable,Variable,N,N,N,N,N,N,N,N,N
"Bread, rice, toasted",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Bread,Moderate,N,Variable,Variable,N,N,N,N,N,N,N,N,N
"Injera, Ethiopian bread",Grains,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Sourdough Flatbread,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Bread, gluten free",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Bread,Moderate,N,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Bread, gluten free, toasted",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Bread,Moderate,N,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Breadsticks, hard, gluten free",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Snack,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Roll, gluten free",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Roll; Bun,Moderate,N,Variable,Variable,N,N,N,N,Variable,N,N,N,N
"Biscuit, NFS",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Side Dish,Unhealthy,Y,Y,Variable,N,N,N,N,Variable,N,N,N,N
"Biscuit, from refrigerated dough",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Highly Processed,Baked Good; Side Dish,Unhealthy,Y,Y,Variable,N,N,N,N,Variable,N,N,N,Variable
"Biscuit, from fast food / restaurant",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Highly Processed,Baked Good; Side Dish; Breakfast Sandwich Base,Unhealthy,Y,Y,Variable,N,N,N,N,Variable,N,N,N,N
"Biscuit, home recipe",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Side Dish,Unhealthy,Y,Y,Variable,N,N,N,N,N,N,N,N,N
"Biscuit, wheat",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Side Dish,Moderate,Y,Y,Variable,N,N,N,N,N,N,N,N,N
"Biscuit, cheese",Grains; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,N,Y,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Side Dish,Unhealthy,Y,Y,Variable,N,N,N,N,N,N,N,N,N
Biscuit with fruit,Grains; Oils and fats; Dairy; Fruits; Sweets and snacks,Carbohydrate-rich; Fat-rich,Y,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Dessert,Unhealthy,Y,Y,Variable,N,N,N,N,N,N,N,N,Variable
Scone,Grains; Oils and fats; Dairy; Sweets and snacks; Proteins,Carbohydrate-rich; Fat-rich,N,Y,Y,Y,N,N,N,Y,Y,Processed,Baked Good; Breakfast; Tea Time,Unhealthy,Y,Y,Y,N,N,N,N,N,N,N,N,N
"Scone, with fruit",Grains; Oils and fats; Dairy; Sweets and snacks; Fruits; Proteins,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,N,N,N,Y,Y,Processed,Baked Good; Breakfast; Tea Time,Unhealthy,Y,Y,Y,N,N,N,N,N,N,N,N,Variable
"Cornbread, prepared from mix",Grains; Dairy; Proteins; Sweets and snacks,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Highly Processed,Baked Good; Side Dish,Moderate,Y,Y,Y,N,N,N,N,Variable,N,N,N,N
"Cornbread, made from home recipe",Grains; Dairy; Proteins; Sweets and snacks,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Side Dish,Moderate,Y,Y,Y,N,N,N,N,N,N,N,N,N
Cornbread stuffing,Grains; Vegetables; Oils and fats; Condiments,Carbohydrate-rich,Y,N,Y,Y,N,Y,Y,Y,N,Processed,Side Dish,Moderate,Y,Variable,Variable,N,N,N,N,Variable,N,N,Y,Variable
"Cornbread muffin, stick, round",Grains; Dairy; Proteins; Sweets and snacks,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Muffin,Moderate,Y,Y,Y,N,N,N,N,N,N,N,N,N
"Cornbread muffin, stick, round, made from home recipe",Grains; Dairy; Proteins; Sweets and snacks,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Baked Good; Muffin,Moderate,Y,Y,Y,N,N,N,N,N,N,N,N,N
"Corn flour patty or tart, fried",Grains; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Highly Processed,Snack; Side Dish,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Corn pone, baked",Grains,Carbohydrate-rich,N,N,Y,Y,N,Y,Y,Y,Y,Processed,Bread,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Corn pone, fried",Grains; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Highly Processed,Bread,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Gordita/sope shell, plain, no filling",Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Shell for Mexican Dish,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
Hush puppy,Grains; Oils and fats; Vegetables,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,Y,Variable,Variable,N,N,N,N,N,N,N,N,N
Johnnycake,Grains; Dairy,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Cornmeal Flatbread/Pancake,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
Spoonbread,Grains; Dairy; Proteins,Carbohydrate-rich; Protein-rich,Y,Y,Y,Y,N,N,N,Y,N,Processed,Custard-like Cornbread,Moderate,N,Y,Y,N,N,N,N,N,N,N,N,N
"Tortilla, NFS",Grains,Carbohydrate-rich,N,N,Y,Y,Variable,Y,Y,Y,Y,Processed,Wrap; Base for Dishes,Moderate,Variable,Variable,N,N,N,N,N,Variable,N,N,N,N
