Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
,,,3.2,,,0.9,,16.0,,78.9,100.0,1440.0,,12.3,0.09,140.0,,304.0,0.15,0.13,0.13,,,,2.8,,14.0,14.0,14.0,,,,,,,,,2.0,,,,90.0,,,,,,,0.14,,,,19.0,,0.1,,0.7,0.1,0.03,,,,,,,,,,,0.1,,22.0,,232.0,,2.7,,0.06,,,,,,0.08,,0.05,,,,,,,0.6,,8.0,,,,,,,,0.05,,63.8,0.6,,,,120.0,,0.1,61.0,,8.6,0.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,"Mango (dried powder, Amchur)",100.0,56.3,1.5,0.002,5.7
1.066,,1.638,4.5,2.449,83.0,,,266.0,23.0,28.09,,,,120.0,0.645,,0.334,508.0,23.328,7.749,1.984,,,,12.2,,162.0,162.0,162.0,,,,,4.707,1.196,0.716,,6.96,1.006,,1.895,268.0,,1.373,,,0.198,,10.05,,10.82,,370.0,,2.474,0.485,7.897,5.021,2.42,,,,,,,,,,,0.77,1.23,738.0,110.0,738.0,0.966,26.08,,0.285,,,,0.02,,1.19,,0.492,,,,,,,200.0,1.196,13.0,,18.0,6.3,,,,,0.548,0.957,6.3,36.16,0.334,0.803,1.23,,,0.397,,,5.27,5.67,Mustard,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,"Mustard (Black, Yellow, and Brown seeds)[3]",100.0,5.4,0.82,0.002,5.7
,,,,,,,,,,,,,,,,,,884.0,59.23,20.6,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,48.0,,,,,,,15.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,1.9,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,Mustard,Fats and Oils,"Gluten-Free,Vegan,Vegetarian",6,Mustard Oil,100.0,7.1,27.7,0.232,6.5
,,,,,,,,500.0,,44.19,,,,,0.7,,,345.0,3.6,7.5,0.8,,,,40.0,,10.0,,10.0,,,,,,,,,10.4,,,,,,,,,,,,,,,178.0,,2.5,,5.7,,,,,,,,,,,,,,,335.0,,1694.0,,17.81,,0.1,,,,,,,,,,,,,,,8.9,,16.0,,,,,,,,0.3,,,14.96,,,,7.0,,0.3,21.0,,7.9,5.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Nigella Seed (Kalonji),100.0,96.6,3.3,,6.0
,,,,,,,,183.0,,49.3,,,,,0.2,,,525.0,3.5,0.4,25.9,,,,20.8,,76.0,,76.0,,,,,,,,,3.0,,,,,,,,,,,,,,,189.0,,2.9,,1.3,,,,,,,,,,,,,,,213.0,,350.0,,5.8,,0.1,,,,,,,,,,,,,,,2.8,,16.0,,,,,,,,0.3,,,36.3,,,,10.0,,0.2,3.0,,6.2,2.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Nutmeg (Jaiphal),100.0,56.3,10.22,0.002,5.7
0.91,,1.066,3.8,2.094,110.0,23.9,,177.0,18.0,58.35,,,,60.5,1.11,,0.22,323.0,0.669,3.208,1.589,,,,24.6,,57.0,57.0,,,,,,3.829,0.957,0.505,,33.53,0.852,,1.411,,,1.137,,,0.003,,0.665,,,,191.0,,1.229,0.282,1.64,2.32,0.888,,,,,,,,,,,,0.865,296.0,140.0,770.0,0.787,23.0,,0.366,,,,,,1.096,,0.493,,,,,,,6.3,0.96,67.0,,12.0,6.4,,,,,0.322,0.686,6.4,6.41,0.229,0.607,0.983,,,0.6,3.0,,8.84,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Panch Phoron (Five-Spice Blend)[4][5],100.0,89.5,0.6,,6.2
,,,,,,,,1438.0,,28.1,,,,,1.6,,,525.0,5.9,29.7,4.5,,,,19.5,,82.0,,82.0,,,,,,,,,9.8,,,,,,,,,,,,,,,347.0,,6.7,,1.0,29.7,,,,,,,,,,,,,,870.0,,719.0,,18.0,,0.2,,,,,,,,,,,,,,,13.5,,26.0,,,,,,,,0.8,,,41.6,,,,,,0.2,1.0,,6.0,8.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Poppy Seeds (Posto),100.0,28.9,1.8,,6.0
0.364,,0.573,4.51,0.627,,,,183.0,,64.93,,168.0,,49.2,0.603,,0.102,354.0,2.24,2.203,3.136,0.003,0.003,,21.1,,45.0,45.0,45.0,,,,,1.082,0.37,0.177,,41.42,0.24,,0.419,1846.0,,0.43,,,0.015,,2.162,0.063,,,193.0,,7.83,0.157,5.142,1.46,0.743,,,,,,,,,,,0.488,0.334,268.0,,2525.0,0.24,7.83,,0.233,,,,0.071,,1.523,,0.985,0.081,0.038,0.016,,,,4.5,0.301,38.0,,,3.21,,0.003,,,0.152,0.264,3.21,9.88,0.089,0.21,0.334,3.0,,0.107,25.9,,12.85,2.54,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Turmeric (Holud),100.0,13.4,4.43,0.002,5.7
0.966,,1.916,3.4,2.333,,,,177.0,,58.35,,,,60.5,1.11,,0.222,323.0,1.1,1.96,1.46,,,,24.6,,57.0,57.0,57.0,,,,,3.844,1.066,0.689,,33.53,0.966,,1.644,,,1.322,,,,,1.07,,,,191.0,,1.22,0.222,1.64,1.74,0.22,,,,,,,,,,,0.833,1.133,296.0,,770.0,0.855,23.0,,0.366,,,,0.03,,1.1,,0.3,0.02,0.01,,,,,6.3,1.044,67.0,,,,,,,,0.322,0.888,6.41,6.41,0.222,0.766,1.044,,,0.6,3.0,,8.84,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Fenugreek (Methi),100.0,56.3,10.22,0.002,5.7
,,,,,,,,,,50.0,,,,,,,,560.0,20.0,6.0,10.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,16.0,39.0,,,,,,,,,2.5,,,Onions,"Gluten-Free,Vegan,Vegetarian",6,Fried Onions (Beresta),100.0,6.0,0.28,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,Flavored or carbonated water,"Gluten-Free,Vegan,Vegetarian",6,Kewra Water,100.0,7.3,0.79,,6.0
0.063,,0.134,2.64,0.214,28.0,0.1,,43.0,7.0,63.88,,875.0,,10.4,0.203,,0.02,240.0,0.035,0.106,0.04,,,,7.1,,4.0,4.0,4.0,,10.61,,15.22,0.334,0.057,0.038,,0.93,0.048,,0.082,85.0,,0.063,,,0.001,,0.031,0.001,,,41.0,,0.155,0.016,1.882,0.086,0.019,,,,,,,,,,,0.218,0.063,73.0,35.0,732.0,0.125,2.18,,0.186,,,,0.001,,0.031,,0.005,0.001,0.001,,,,,0.3,0.076,2.0,,,9.51,,,,,0.051,0.057,38.13,0.38,0.008,0.036,0.063,78.0,,0.205,0.6,,30.92,0.29,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Prunes (Aloo Bukhara),100.0,59.5,0.43,,3.6
0.741,,0.985,5.33,1.895,,,,931.0,,44.19,116.0,532.0,,10.4,0.867,,0.334,375.0,12.3,4.41,1.535,,,,10.5,,10.0,10.0,10.0,,0.22,,0.22,2.834,0.858,0.456,,66.36,0.771,,1.139,270.0,,0.898,,,,,12.04,0.26,,,366.0,,3.333,0.276,4.579,4.15,0.26,,,,,,,,,,,0.25,0.732,499.0,153.0,1788.0,0.72,17.81,,0.327,0.009,0.012,,0.019,,1.309,0.011,0.17,,,,,,,5.0,0.916,168.0,,,0.2,,,,,0.628,0.641,2.25,22.27,0.198,0.551,0.898,77.0,,0.4,7.7,,8.06,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Shahi Jeera (Royal Cumin),100.0,5.4,3.33,0.002,5.7
0.119,,0.088,0.77,0.187,,,,14.0,,8.81,42.0,534.0,,12.0,0.08,217.0,0.015,40.0,0.057,0.203,0.054,,,,1.5,,23.0,23.0,23.0,,2.2,,2.17,0.174,0.063,0.038,,1.2,0.058,,0.093,349.0,,0.08,,,0.007,,0.05,,,,25.0,,0.147,0.021,0.966,0.16,0.043,,,,,,,,,,,0.334,0.059,43.0,,322.0,0.065,1.87,,0.091,,,,,,0.041,,0.012,,,,,,,0.3,0.076,9.0,0.32,,,,,,,0.072,0.063,5.3,0.2,0.019,0.05,0.076,62.0,,0.509,242.5,,88.1,0.27,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Chili (fresh green and dried red),100.0,14.0,0.69,,5.9
3.55,,4.26,14.07,6.11,,,,5060.0,,,,,260.0,107.5,0.36,,0.5,270.0,2.448,3.551,3.518,,,,,,9.0,9.0,9.0,,,,,8.85,2.98,1.34,,4.6,2.22,,3.75,,,4.28,0.009,,0.58,0.015,1.792,0.05,0.002,,200.0,,0.21,1.4,3.75,0.191,0.07,0.021,0.025,0.022,0.09,1.107,0.038,0.015,0.06,1.912,,0.33,1.97,720.0,,1620.0,1.8,55.6,270.0,0.22,0.001,0.003,,1.105,0.014,1.892,0.051,0.45,0.001,,,,,,62.0,2.16,4860.0,,,,,,,,0.15,2.35,,10.6,0.62,1.69,2.46,270.0,30.0,0.2,,,15.9,4.2,Fish,Fish,,6,Dried Fish (Shutki - as a key flavor base),100.0,0.2,0.7,,6.0
0.91,,1.066,3.8,2.094,110.0,23.9,,177.0,18.0,58.35,,,,60.5,1.11,,0.22,323.0,0.669,3.208,1.589,,,,24.6,,57.0,57.0,,,,,,3.829,0.957,0.505,,33.53,0.852,,1.411,,,1.137,,,0.003,,0.665,,,,191.0,,1.229,0.282,1.64,2.32,0.888,,,,,,,,,,,,0.865,296.0,140.0,770.0,0.787,23.0,,0.366,,,,,,1.096,,0.493,,,,,,,6.3,0.96,67.0,,12.0,6.4,,,,,0.322,0.686,6.4,6.41,0.229,0.607,0.983,,,0.6,3.0,,8.84,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Panch Phoron,100.0,89.5,0.6,,6.2
3.59,,4.26,22.2,6.34,,,,770.0,,0.3,,,310.0,100.0,0.77,,0.58,130.0,0.641,0.858,0.806,,,,,,3.0,3.0,3.0,,,,,8.8,3.08,1.47,,2.8,2.28,,3.84,,,4.35,0.007,,0.141,0.006,0.463,0.016,0.008,,120.0,,0.13,1.48,2.1,0.089,0.009,0.003,0.008,0.013,0.024,0.22,0.011,0.004,0.028,0.448,,0.21,2.03,480.0,,380.0,1.86,32.6,14.0,0.09,,0.004,,0.199,0.014,0.485,0.017,0.088,,,,,,,60.0,2.22,13500.0,0.3,,,,,,,0.07,2.41,,2.3,0.64,1.74,2.52,14.0,1.6,0.1,,,44.6,2.1,"Crustaceans,Fish",Shellfish,,6,Shrimp Paste (from Arakanese influence),100.0,0.3,0.4,,3.4
,,,,,,,,180.0,,44.2,,,,,0.6,,,440.0,16.0,4.0,2.0,,,,10.8,,,,10.0,,,,,,,,,11.0,,,,,,,,,,,,,,,119.0,,2.5,,5.7,,,,,,,,,,,,,,,355.0,,1340.0,,17.8,,0.2,,,,,,,,,,,,,,,5.0,,16.0,,,,,,,,0.5,,2.2,22.2,,,,,,0.4,12.0,,6.4,3.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Nigella,100.0,56.3,3.3,0.002,5.7
,,,,,,,,1400.0,,42.99,,,,,0.5,,,377.0,0.8,1.3,0.4,,,,11.5,,,,10.0,,,,,,,,,16.5,,,,,,,,,,,,,,,320.0,,2.3,,4.5,,,,,,,,,,,,,,,530.0,,1350.0,,15.86,,0.4,,,,,,0.239,,0.053,,,,,,,,,10.0,,,,,,,,0.6,,2.5,21.25,,,,,,0.4,,,8.9,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Carom seed (Ajwain),100.0,56.3,10.22,0.002,5.7
,,,,,,,,383.0,,68.5,,62.0,,,0.383,124.0,,311.0,0.72,3.2,0.61,,,,28.0,,20.0,,20.0,,,,,,,,,13.97,,,,340.0,,,,,,,,,,,229.0,,28.0,,1.102,,,,,,,,,,,,,,,178.0,,1119.0,,10.7,,0.182,,,,,,,,,,,,,,,10.0,,18.0,,,,,,,,0.198,,0.7,6.7,,,,,,0.23,21.0,,8.28,7.47,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Green cardamom,100.0,6.7,0.7,0.002,5.7
,,,,,,,,646.0,,65.53,,113.0,,,0.129,89.0,,323.0,1.341,4.167,6.345,,,,33.9,,25.0,,25.0,,,,,,,,,11.83,,,,54.0,,,,,,,,,,,259.0,,30.0,,1.459,,,,,,,,,,,,,,,104.0,,1020.0,,5.97,,0.229,,,,,,,,,,,,,,,7.2,,277.0,,,,,,,,0.158,,2.38,20.07,,,,,,0.392,0.5,,9.87,2.32,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Clove,100.0,141.8,8.82,0.002,5.7
,,,,,,,,148.0,,56.63,20.0,1445.0,,,0.37,995.0,,318.0,2.871,8.106,3.26,,,,34.8,,106.0,,106.0,,,,,,,,,7.8,,,,1761.0,4758.0,,,,,,,,,,152.0,,1.914,,8.705,,,,,,,,,,,,,,,293.0,,2014.0,,12.01,,0.919,,,,,,,,,,,,,,,8.1,,30.0,,,,,,,,0.322,,10.34,17.27,,,,1561.0,,3.376,76.4,,10.37,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Dry red chili,100.0,80.3,29.83,0.002,5.7
,,,,,,,,116.0,,70.88,,,,53.6,0.755,,,347.0,1.139,1.488,2.031,,,,14.3,,,,13.0,,,,,,,,,19.8,,,,,,,,,,,,,,,132.0,,33.3,,9.61,,,,,,,,,,,,,,,168.0,,1342.0,,8.98,,0.16,,,,,,,,,,,,,,,5.5,,27.0,,,,,,,,0.052,,3.35,6.04,,,,,,0.598,,,9.87,4.71,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Ginger (dried),100.0,16.4,0.8,0.002,5.7
,,,,,,,,150.0,,72.73,,,,23.2,0.231,,,331.0,0.02,0.28,0.126,,,,9.9,,,,15.0,,,,,,,,,1.83,,,,,,,,,,,,,,,76.0,,0.94,,0.713,,,,,,,,,,,,,,,411.0,,1243.0,,16.55,,0.09,,,,,,,,,,,,,,,13.9,,60.0,,,,,,,,0.081,,2.43,0.72,,,,,,1.235,1.4,,7.78,0.54,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Garlic (dried),100.0,0.6,0.1,0.002,5.7
,,,,,,,,280.0,,53.99,56.0,2307.0,,94.7,0.36,2697.0,,282.0,2.41,7.37,2.19,,,,34.8,,,,108.0,,,,,,,,,22.1,,,,6176.0,,,,,,,,,,,178.0,,2.18,,10.95,,,,,,,,,,,,,,,314.0,,2280.0,,13.99,,0.43,,,,,,,,,,,,,,,7.9,,68.0,,,,,,,,0.33,,10.34,12.89,,,,1944.0,,2.45,0.9,,9.27,4.31,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red chili powder,100.0,80.3,29.1,0.002,5.7
,,,,,,,,1438.0,,28.13,,,,25.5,1.62,,,525.0,5.9,28.56,4.51,,,,19.5,,,,82.0,,,,,,,,,9.79,,,,,,,,,,,,,,,347.0,,6.7,,1.05,,,,,,,,,,,,,,,870.0,,719.0,,17.99,,0.177,,,,,,,,,,,,,,,13.5,,26.0,,,,,,,,0.854,,2.99,41.56,,,,,,0.247,1.0,,6.13,7.97,,Nuts and seeds,"Gluten-Free,Vegan,Vegetarian",6,Poppy seed (Posto),100.0,,1.77,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,Not included in a food category,"Gluten-Free,Vegan,Vegetarian",6,Kewra essence (aromatic ingredient),100.0,7.3,0.79,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,Bottled water,"Gluten-Free,Vegan,Vegetarian",6,Rose water (aromatic ingredient),100.0,28.9,1.09,,6.0
,,,11.75,,,48.2,,1890.0,,63.94,,3600.0,,48.2,0.785,,,276.0,0.954,1.693,2.71,,,,37.0,,,,274.0,,,,,,,,,123.6,,,,1800.0,,,,,,,,,,,220.0,,1.719,,4.91,,,,,,,,,,,,,0.407,,201.0,,814.0,,9.11,,0.399,,,,,,,,,,,,,,,4.6,,55.0,,,,,,,,0.05,,1.71,7.4,,,,300.0,,0.348,50.0,,7.8,6.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Thyme (dried),100.0,1714.5,7.5,,5.9
,,,13.01,,,48.2,,1990.0,,60.6,,3235.0,,48.2,1.133,,,271.0,0.923,2.222,0.521,,,,40.3,,,,274.0,,,,,,,,,82.71,,,,1895.0,,,,,,,,,,,346.0,,5.688,,4.12,,,,,,,,,,,,,0.985,,306.0,,1522.0,,12.65,,0.316,,,,,,,,,,,,,,,4.5,,80.0,,,,,,,,0.306,,4.1,7.03,,,,269.0,,1.73,51.4,,6.71,3.6,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Marjoram (dried),100.0,621.7,3.33,,5.9
,,,10.6,,,48.2,,1464.0,,50.64,,10200.0,,48.2,0.354,,,292.0,0.824,1.692,0.826,,,,26.7,,,,175.0,,,,,,,,,22.04,,,,6000.0,,,,,,,,,,,466.0,,2.715,,6.6,,,,,,,,,,,,,0.687,,457.0,,3600.0,,26.63,,0.324,,,,,,,,,,,,,,,6.6,,450.0,,,,,,,,0.198,,7.27,4.8,,,,850.0,,0.9,285.2,,7.33,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Parsley (dried),100.0,1640.0,11.5,,5.9
,,,6.03,,,48.2,,148.0,,56.63,,12560.0,,48.2,0.37,,,318.0,2.98,7.96,3.26,,,,34.2,,,,106.0,,,,,,,,,7.8,,,,6024.0,,,,,,,,,,,152.0,,3.9,,9.21,,,,,,,,,,,,,2.519,,293.0,,2014.0,,12.01,,0.91,,,,,,,,,,,,,,,12.1,,30.0,,,,,,,,0.32,,10.34,17.27,,,,1098.0,,2.78,76.4,,8.06,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Crushed red pepper,100.0,80.3,29.83,0.002,5.7
,,,7.91,,,,,334.0,,55.7,89.0,2809.0,,46.2,0.37,,,318.0,3.09,8.01,3.1,,,,28.5,,102.0,102.0,102.0,,,,,,,,,12.5,,,,2082.0,3538.0,,,,,,,,,,152.0,,1.83,,11.6,,,,,,,,,,,,,2.5,,293.0,,1334.0,,12.3,,0.92,,,,,,,,,,,,,,,7.3,,78.0,,,,,,,,0.2,,10.2,17.2,,,,234.0,,2.56,12.8,,6.88,2.52,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Scotch bonnet powder (dried chili),100.0,80.3,3.23,0.002,5.7
,,,3.72,,,,,82.0,,75.0,,23.0,,,0.2,,,333.0,0.8,3.55,0.58,,,,14.5,,24.0,24.0,24.0,,,,,,,,,2.9,,,,,,,,,,,,,,,82.0,,1.12,,4.1,,,,,,,,,,,,,0.47,,82.0,,709.0,,3.7,,0.3,,,,,,,,,,,,,,,0.7,,42.0,,,,,,,,0.3,,,13.9,,,,2.0,,0.47,0.2,,6.78,0.97,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Juniper berry,100.0,71.3,0.61,0.002,5.7
,,,12.11,,,,,1516.0,,55.1,,4627.0,,,0.76,,,253.0,0.05,2.11,0.28,,,,21.1,,190.0,190.0,190.0,,,,,,,,,7.97,,,,2718.0,,,,,,,,,,,256.0,,1.3,,2.81,,,,,,,,,,,,,0.39,,306.0,,1558.0,,20.0,,0.28,,,,,,,,,,,,,,,1.1,,20.0,,,,,,,,0.42,,,4.4,,,,386.0,,0.32,85.0,,8.35,3.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Dill (dried),100.0,1640.0,3.89,,5.9
,,,,,,,,320.0,,3.6,,1560.0,,,0.08,,,24.0,,,,,,,1.8,,,,100.0,,,,,,,,,3.1,,,,,,,,,,,,,,,50.0,,0.15,,0.6,,,,,,,,,,,,,,,55.0,,460.0,,2.4,,0.14,,,,,,,,,,,,,,,0.3,,25.0,,,,,,,,0.1,,3.6,0.6,,,,260.0,,0.1,50.0,,90.5,0.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Lovage (dried),100.0,770.6,3.89,,5.9
,,,,,,,,71.0,,11.3,,,,,0.08,,,48.0,,,,,,,3.3,,,,55.0,,,,,,,,,0.4,,,,,,,,,,,,,,,32.0,,0.13,,0.3,,,,,,,,,,,,,,,60.0,,370.0,,1.6,,0.1,,,,,,,,,,,,,,,0.3,,26.0,,,,,,,,0.08,,7.7,0.3,,,,,,0.12,24.9,,88.2,0.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Horseradish (dried),100.0,5.4,0.18,,6.0
,,,7.58,,,,,931.0,,44.28,,766.0,,,0.333,,,375.0,15.351,3.197,1.535,,,,10.5,,10.0,,,,,,,,,,,66.36,,,,,,,,,,,15.111,,,,366.0,,3.333,,4.579,2.232,0.669,,,,,,,,,,,,,499.0,,1788.0,,17.81,,0.327,,,,0.015,,1.011,,0.264,0.065,0.039,,,,,5.1,,168.0,,,,,,,,0.628,,2.25,22.27,,,,64.0,,0.435,7.7,,8.06,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cumin (less common),100.0,5.4,3.33,0.002,5.7
,,,0.76,,13.0,,,100.0,,8.85,,350.0,,,0.096,,,40.0,,,,,,,3.2,,23.0,23.0,,,,,,,,,,1.7,,,,150.0,,,,,,,,,,,32.0,,0.198,,0.32,,,,,,,,,,,,,0.2,,53.0,13.0,352.0,,1.53,,0.07,,,,,,,,,,,,,,,0.6,,55.0,,,,,,,,0.05,,,0.27,,,,29.0,,0.14,13.0,,88.59,0.35,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Angelica root,100.0,40.5,0.86,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Sweet flag (Calamus),100.0,770.6,3.89,,5.9
,,,9.6,,,,,1660.0,,50.0,,4800.0,,,0.5,,,373.0,1.1,3.5,1.3,,,,13.9,,80.0,,,,,,,,,,,11.4,,,,,,,,,,,1.1,,,,320.0,,4.1,,1.5,2.8,0.7,,,,,,,,,,,,,465.0,,1750.0,,28.6,,0.2,,,,,,0.9,,0.4,,,,,,,,,160.0,,,,,,,,0.1,,,6.8,,,,400.0,,0.3,10.0,,5.0,2.4,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Nettle (dried),100.0,1300.0,6.0,,5.9
,,,14.8,,,,,1340.0,,49.3,,6000.0,,,0.35,,,237.0,0.8,2.0,0.6,,,,10.0,,100.0,,,,,,,,,,,31.9,,,,,,,,,,,0.8,,,,306.0,,1.9,,2.5,1.5,0.5,,,,,,,,,,,,,460.0,,4740.0,,23.2,,0.5,,,,,,0.4,,0.2,,,,,,,,,180.0,,,,,,,,0.1,,6.4,4.7,,,,500.0,,0.2,50.0,,8.0,3.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chervil (dried),100.0,1200.0,1.5,,5.9
,,,9.43,,,3.8,,1139.0,,50.22,,5030.0,,44.2,0.63,,,295.0,1.503,2.923,1.794,,,,8.0,,274.0,274.0,274.0,,,,,,,,,32.3,,,,6970.0,,,,,0.015,,1.488,,,,347.0,,5.41,,2.92,0.27,2.653,,,,,,,,,,,0.58,,303.0,,3020.0,,23.23,,0.33,,0.01,,0.007,,1.378,,0.373,,,,,,,4.6,,62.0,,,6.3,,,,,0.2,,6.3,7.2,,,,420.0,,1.2,50.0,,9.93,3.9,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Tarragon (dried),100.0,312.5,6.82,,5.9
,,,10.05,,,2.4,,1652.0,,60.4,,3576.0,,43.6,0.7,,,315.0,1.82,3.085,8.401,,,,40.3,,274.0,274.0,274.0,,,,,,,,,28.12,,,,1885.0,,,,,0.01,,1.78,,,,428.0,,2.73,,5.72,2.9,0.185,,,,,,,,,,,0.75,,91.0,,1070.0,,10.63,,0.34,0.02,0.02,,0.05,,7.39,,0.89,0.02,0.01,,,,,3.7,,11.0,,,1.7,,,,,0.3,,1.7,16.32,,,,298.0,,2.69,32.4,,8.4,4.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Sage (dried),100.0,604.0,7.48,,5.9
